OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00500568,Sample-Routine,Water,Surface Water,2005-05-23,14:15:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"A-1470235 TPCN, CHY 15mL",,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45952383,,,Nitrogen,Suspended,1.02,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2005-06-22,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00500501,Sample-Routine,Water,Surface Water,2005-05-04,13:40:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45948010,,,Phosphorus,Total,0.28,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759 because the result from labcode 2333 exceeded the calibration range.,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2005-06-01,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00500501,Sample-Routine,Water,Surface Water,2005-05-04,13:40:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45948011,,,Phosphorus,Dissolved,0.112,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2005-06-02,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00500501,Sample-Routine,Water,Surface Water,2005-05-04,13:40:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45948077,,,Nitrogen,Suspended,0.532,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2005-05-19,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600609,Sample-Routine,Water,Surface Water,2006-06-07,14:25:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-1600117 TPCN 25 ML  25 mL,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46006538,,,Phosphorus,Total,0.26,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-06-27,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600609,Sample-Routine,Water,Surface Water,2006-06-07,14:25:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-1600117 TPCN 25 ML  25 mL,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46006539,,,Phosphorus,Dissolved,0.119,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-06-13,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600609,Sample-Routine,Water,Surface Water,2006-06-07,14:25:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-1600117 TPCN 25 ML  25 mL,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46006608,,,Phosphorus,Suspended,0.090,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600609,Sample-Routine,Water,Surface Water,2006-06-07,14:25:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-1600117 TPCN 25 ML  25 mL,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46006631,,,Nitrogen,Suspended,0.397,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-07-18,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600352,Quality Control Sample-Field Replicate,Water,Surface Water,2006-03-15,13:45:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45992935,,,Phosphorus,Total,0.35,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-04-06,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600352,Quality Control Sample-Field Replicate,Water,Surface Water,2006-03-15,13:45:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45992936,,,Phosphorus,Dissolved,0.073,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-03-23,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600352,Quality Control Sample-Field Replicate,Water,Surface Water,2006-03-15,13:45:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45993005,,,Phosphorus,Suspended,0.090,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600352,Quality Control Sample-Field Replicate,Water,Surface Water,2006-03-15,13:45:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45993028,,,Nitrogen,Suspended,0.854,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-04-03,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00700229,Sample-Routine,Water,Surface Water,2006-12-13,14:10:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"L-3490039 Received Dec 20,2006 - late login due to snowstorm Frozen containers received warm at 3     Degrees C  X = No CHY received",,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46038405,,,Phosphorus,Total,0.271,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,CL021,USGS,"P, wu, WCA, persulfate CF color",,,,2007-01-11,sample was diluted,,Laboratory Reporting Level,0.008,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00700229,Sample-Routine,Water,Surface Water,2006-12-13,14:10:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"L-3490039 Received Dec 20,2006 - late login due to snowstorm Frozen containers received warm at 3     Degrees C  X = No CHY received",,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46038406,,,Phosphorus,Dissolved,0.121,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2007-01-04,,,Laboratory Reporting Level,0.006,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00700229,Sample-Routine,Water,Surface Water,2006-12-13,14:10:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,"L-3490039 Received Dec 20,2006 - late login due to snowstorm Frozen containers received warm at 3     Degrees C  X = No CHY received",,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46038458,,,Nitrogen,Suspended,0.441,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2007-01-24,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00700075,Sample-Routine,Water,Surface Water,2006-10-26,14:45:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-3040097 25 mL L-3040097 X= Field ID on samples marked as B,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46029660,,,Phosphorus,Total,0.217,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00665,,,,,,,,,CL021,USGS,"P, wu, WCA, persulfate CF color",,,,2006-11-20,sample was diluted,,Laboratory Reporting Level,0.008,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00700075,Sample-Routine,Water,Surface Water,2006-10-26,14:45:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-3040097 25 mL L-3040097 X= Field ID on samples marked as B,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46029661,,,Phosphorus,Dissolved,0.120,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-11-07,,,Laboratory Reporting Level,0.006,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00700075,Sample-Routine,Water,Surface Water,2006-10-26,14:45:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-3040097 25 mL L-3040097 X= Field ID on samples marked as B,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46029713,,,Nitrogen,Suspended,0.060,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-12-06,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600546,Sample-Routine,Water,Surface Water,2006-05-15,14:20:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46002550,,,Phosphorus,Total,0.28,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-06-05,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600546,Sample-Routine,Water,Surface Water,2006-05-15,14:20:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46002551,,,Phosphorus,Dissolved,0.104,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-06-01,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600546,Sample-Routine,Water,Surface Water,2006-05-15,14:20:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46002620,,,Phosphorus,Suspended,0.070,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600546,Sample-Routine,Water,Surface Water,2006-05-15,14:20:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46002643,,,Nitrogen,Suspended,0.442,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-06-07,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600469,Sample-Routine,Water,Surface Water,2006-04-26,14:05:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,"Stable, low stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45998314,,,Phosphorus,Total,0.31,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-05-08,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600469,Sample-Routine,Water,Surface Water,2006-04-26,14:05:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,"Stable, low stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45998315,,,Phosphorus,Dissolved,0.112,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-05-03,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600469,Sample-Routine,Water,Surface Water,2006-04-26,14:05:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,"Stable, low stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45998366,,,Nitrogen,Suspended,0.418,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-05-31,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600249,Sample-Routine,Water,Surface Water,2006-02-06,14:25:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3 L,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45988782,,,Phosphorus,Total,0.22,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-03-22,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600249,Sample-Routine,Water,Surface Water,2006-02-06,14:25:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3 L,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45988783,,,Phosphorus,Dissolved,0.120,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-02-23,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600249,Sample-Routine,Water,Surface Water,2006-02-06,14:25:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3 L,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45988834,,,Nitrogen,Suspended,0.431,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-03-07,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600392,Sample-Routine,Water,Surface Water,2006-04-05,14:05:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45994861,,,Phosphorus,Total,0.22,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-04-28,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600392,Sample-Routine,Water,Surface Water,2006-04-05,14:05:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45994862,,,Phosphorus,Dissolved,0.069,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-04-12,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600392,Sample-Routine,Water,Surface Water,2006-04-05,14:05:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45994913,,,Nitrogen,Suspended,0.656,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-04-12,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600830,Sample-Routine,Water,Surface Water,2006-08-15,08:45:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl; BASKET SAMPLE,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46016972,,,Phosphorus,Total,0.22,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-09-27,holding time exceededresult determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600830,Sample-Routine,Water,Surface Water,2006-08-15,08:45:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl; BASKET SAMPLE,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46016973,,,Phosphorus,Dissolved,0.158,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-08-22,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600830,Sample-Routine,Water,Surface Water,2006-08-15,08:45:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl; BASKET SAMPLE,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46017024,,,Nitrogen,Suspended,0.336,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-09-01,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600199,Sample-Routine,Water,Surface Water,2006-01-11,14:35:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-0130031 TPCN 25 mL  25 mL,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45986287,,,Phosphorus,Total,0.23,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759 because the result from labcode 2333 exceeded the calibration range.,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-01-25,result determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600199,Sample-Routine,Water,Surface Water,2006-01-11,14:35:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-0130031 TPCN 25 mL  25 mL,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45986288,,,Phosphorus,Dissolved,0.147,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-01-25,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600199,Sample-Routine,Water,Surface Water,2006-01-11,14:35:00,CST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,A-0130031 TPCN 25 mL  25 mL,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-45986339,,,Nitrogen,Suspended,0.230,mg/l,,Accepted,,Actual,,,,,,,,,,,49570,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",,,,2006-02-16,,,Lower Reporting Limit,0.022,mg/l,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600931,Sample-Routine,Water,Surface Water,2006-09-06,14:00:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46021711,,,Phosphorus,Total,0.34,mg/l as P,,Accepted,,Actual,,,,,,,,,,The parameter 00665 was swapped from labcode 2333 to labcode 2759,00665,,,,,,,,,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",,USGS WRI 03-4174,,2006-10-13,holding time exceededresult determined by alternate methodsee result laboratory comment,,Laboratory Reporting Level,0.02,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600931,Sample-Routine,Water,Surface Water,2006-09-06,14:00:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46021712,,,Phosphorus,Dissolved,0.187,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00666,,,,,,,,,CL020,USGS,"P, wf, FCC, persulfate CF color",,,,2006-09-29,,,Laboratory Reporting Level,0.004,mg/l as P,,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.00600931,Sample-Routine,Water,Surface Water,2006-09-06,14:00:00,CDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-07022000,,1 3L btl,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-46021781,,,Phosphorus,Suspended,0.110,%,,Accepted,,Actual,Dry,,,,,,,,,,30292,,,,,,,,,,,,,,,,,,,,,,,NWIS
